Name,Type,2024-01-01 Duration,2024-01-02 Duration,2024-01-03 Duration,2024-01-04 Duration,2024-01-05 Duration,2024-01-06 Duration,2024-01-07 Duration,2024-01-08 Duration,2024-01-09 Duration,2024-01-10 Duration,2024-01-11 Duration,2024-01-12 Duration,2024-01-13 Duration,2024-01-14 Duration,2024-01-15 Duration,2024-01-16 Duration,2024-01-17 Duration,2024-01-18 Duration,2024-01-19 Duration,2024-01-20 Duration,2024-01-21 Duration,2024-01-22 Duration,2024-01-23 Duration,2024-01-24 Duration,2024-01-25 Duration,2024-01-26 Duration,2024-01-27 Duration,2024-01-28 Duration,2024-01-29 Duration,2024-01-30 Duration,2024-01-31 Duration,2024-02-01 Duration,2024-02-02 Duration,2024-02-03 Duration,2024-02-04 Duration,2024-02-05 Duration,2024-02-06 Duration,2024-02-07 Duration,2024-02-08 Duration,2024-02-09 Duration,2024-02-10 Duration,2024-02-11 Duration,2024-02-12 Duration,2024-02-13 Duration,2024-02-14 Duration,2024-02-15 Duration,2024-02-16 Duration,2024-02-17 Duration,2024-02-18 Duration,2024-02-19 Duration,2024-02-20 Duration,2024-02-21 Duration,2024-02-22 Duration,2024-02-23 Duration,2024-02-24 Duration,2024-02-25 Duration,2024-02-26 Duration,2024-02-27 Duration,2024-02-28 Duration,2024-02-29 Duration,2024-03-01 Duration,2024-03-02 Duration,2024-03-03 Duration,2024-03-04 Duration,2024-03-05 Duration,2024-03-06 Duration,2024-03-07 Duration,2024-03-08 Duration,2024-03-09 Duration,2024-03-10 Duration,2024-03-11 Duration,2024-03-12 Duration,2024-03-13 Duration,2024-03-14 Duration,2024-03-15 Duration,2024-03-16 Duration,2024-03-17 Duration,2024-03-18 Duration,2024-03-19 Duration,2024-03-20 Duration,2024-03-21 Duration,2024-03-22 Duration,2024-03-23 Duration,2024-03-24 Duration,2024-03-25 Duration,2024-03-26 Duration,2024-03-27 Duration,2024-03-28 Duration,2024-03-29 Duration,2024-03-30 Duration,2024-03-31 Duration
Kabir 1,Maintenance,08:50:00,10:00:00,10:20:00,07:10:00,10:20:00,06:10:00,10:40:00,06:50:00,09:10:00,10:20:00,08:40:00,08:30:00,00:00:00,07:30:00,10:20:00,09:00:00,07:40:00,08:40:00,08:00:00,07:20:00,09:50:00,10:10:00,06:00:00,10:00:00,08:00:00,06:00:00,08:20:00,09:40:00,10:00:00,06:10:00,08:10:00,08:50:00,08:50:00,07:30:00,09:40:00,08:50:00,08:00:00,08:30:00,06:10:00,10:20:00,08:20:00,07:40:00,10:40:00,09:20:00,10:40:00,09:50:00,07:30:00,06:50:00,07:40:00,10:00:00,06:30:00,06:20:00,10:50:00,07:10:00,06:50:00,08:10:00,08:10:00,10:20:00,06:00:00,10:00:00,10:30:00,08:20:00,10:50:00,09:20:00,08:00:00,08:20:00,10:50:00,09:00:00,06:50:00,07:40:00,07:00:00,08:30:00,08:20:00,07:00:00,10:40:00,09:50:00,00:00:00,09:50:00,06:40:00,08:20:00,09:10:00,08:00:00,00:00:00,07:50:00,08:40:00,09:10:00,08:50:00,08:00:00,06:20:00,06:50:00,09:20:00
Arjun 2,Maintenance,08:00:00,00:00:00,00:00:00,07:10:00,08:40:00,09:20:00,08:00:00,08:20:00,10:20:00,09:10:00,06:10:00,08:00:00,09:30:00,06:50:00,06:50:00,07:40:00,07:40:00,10:30:00,10:20:00,08:00:00,08:40:00,10:50:00,09:30:00,09:00:00,09:10:00,07:20:00,07:40:00,10:40:00,10:40:00,09:20:00,06:30:00,06:40:00,10:10:00,06:40:00,10:10:00,09:40:00,10:30:00,10:30:00,10:30:00,07:20:00,07:00:00,08:20:00,10:30:00,09:50:00,06:10:00,10:30:00,08:30:00,10:30:00,08:00:00,08:40:00,09:40:00,07:10:00,10:40:00,10:00:00,08:10:00,09:50:00,06:40:00,06:30:00,06:00:00,00:00:00,06:30:00,08:30:00,09:50:00,09:20:00,10:30:00,09:20:00,07:50:00,09:00:00,06:50:00,09:20:00,08:40:00,00:00:00,06:40:00,08:40:00,10:00:00,09:20:00,00:00:00,09:10:00,09:40:00,07:30:00,07:30:00,00:00:00,06:40:00,07:40:00,08:30:00,06:10:00,06:00:00,07:30:00,09:00:00,07:40:00,09:50:00
Ananya 3,Security,10:30:00,07:00:00,08:20:00,08:50:00,00:00:00,06:40:00,08:10:00,10:30:00,07:40:00,07:10:00,09:20:00,10:40:00,07:50:00,10:10:00,10:40:00,09:50:00,08:10:00,08:40:00,08:20:00,00:00:00,06:40:00,08:10:00,07:10:00,06:00:00,08:10:00,09:40:00,10:00:00,10:40:00,07:50:00,10:10:00,08:40:00,09:30:00,10:40:00,07:10:00,07:10:00,06:40:00,06:50:00,00:00:00,08:10:00,07:00:00,06:30:00,09:20:00,09:40:00,09:50:00,06:30:00,06:10:00,09:00:00,07:30:00,10:30:00,00:00:00,10:20:00,06:20:00,08:20:00,07:00:00,09:10:00,07:20:00,08:10:00,09:00:00,06:40:00,08:30:00,08:00:00,08:20:00,07:20:00,06:20:00,00:00:00,06:10:00,08:10:00,08:00:00,00:00:00,10:10:00,09:50:00,10:30:00,00:00:00,08:40:00,08:00:00,09:50:00,10:20:00,06:40:00,06:00:00,09:30:00,10:40:00,08:20:00,09:30:00,10:30:00,09:40:00,07:20:00,06:20:00,06:40:00,09:10:00,07:00:00,09:40:00
Ananya 4,Gardening,07:50:00,06:00:00,06:00:00,00:00:00,06:20:00,06:40:00,06:40:00,10:30:00,09:20:00,08:20:00,10:20:00,08:10:00,08:00:00,07:40:00,06:00:00,09:00:00,07:10:00,07:30:00,10:20:00,09:20:00,08:00:00,08:50:00,08:00:00,07:30:00,08:30:00,06:00:00,06:00:00,06:50:00,08:20:00,09:40:00,06:20:00,06:00:00,10:10:00,07:30:00,09:40:00,08:50:00,08:50:00,09:20:00,06:40:00,06:30:00,07:10:00,09:20:00,08:20:00,08:30:00,09:10:00,10:20:00,09:40:00,09:40:00,09:50:00,09:30:00,09:50:00,10:20:00,06:00:00,09:20:00,06:20:00,07:50:00,10:30:00,07:20:00,09:50:00,08:30:00,07:20:00,00:00:00,06:20:00,09:40:00,10:50:00,10:00:00,09:40:00,09:20:00,08:20:00,06:30:00,06:30:00,07:00:00,09:10:00,10:30:00,07:30:00,09:00:00,09:30:00,06:00:00,10:50:00,06:00:00,08:00:00,09:40:00,00:00:00,06:50:00,10:00:00,06:50:00,09:00:00,08:50:00,06:00:00,08:30:00,09:40:00
Pooja 5,Reception,07:30:00,10:30:00,07:20:00,06:30:00,08:50:00,06:20:00,07:50:00,07:30:00,10:00:00,08:50:00,09:20:00,10:20:00,08:50:00,10:10:00,06:40:00,09:10:00,08:30:00,06:00:00,08:00:00,06:40:00,08:20:00,10:20:00,10:50:00,09:40:00,09:20:00,08:50:00,07:00:00,08:10:00,00:00:00,07:50:00,06:20:00,07:00:00,07:50:00,10:10:00,09:10:00,09:20:00,07:50:00,00:00:00,10:10:00,08:20:00,06:00:00,07:10:00,09:10:00,07:50:00,09:00:00,06:10:00,00:00:00,06:30:00,10:10:00,10:40:00,08:00:00,00:00:00,06:50:00,10:50:00,06:40:00,07:40:00,06:20:00,09:20:00,08:50:00,10:50:00,07:40:00,10:10:00,06:30:00,08:10:00,00:00:00,06:30:00,06:10:00,08:20:00,09:20:00,07:40:00,10:50:00,00:00:00,08:50:00,07:20:00,08:40:00,07:50:00,08:00:00,07:20:00,07:00:00,06:10:00,08:10:00,06:40:00,07:40:00,09:10:00,08:00:00,09:10:00,09:50:00,08:10:00,06:00:00,09:40:00,10:30:00
Ananya 6,Electrician,09:30:00,09:10:00,10:10:00,09:30:00,09:30:00,09:40:00,09:30:00,07:50:00,09:40:00,09:30:00,10:20:00,10:40:00,10:20:00,10:50:00,08:10:00,06:50:00,10:10:00,07:30:00,10:00:00,09:50:00,08:10:00,06:10:00,10:20:00,10:10:00,09:20:00,08:00:00,08:50:00,10:10:00,06:20:00,06:10:00,07:30:00,08:50:00,08:30:00,08:20:00,10:00:00,10:20:00,08:10:00,10:00:00,07:10:00,10:50:00,09:50:00,09:40:00,00:00:00,09:40:00,08:30:00,07:20:00,10:00:00,09:20:00,09:40:00,09:50:00,07:10:00,00:00:00,09:20:00,09:40:00,09:50:00,07:20:00,08:00:00,07:10:00,07:20:00,08:10:00,07:40:00,06:30:00,10:20:00,08:40:00,06:30:00,06:10:00,09:10:00,06:20:00,09:00:00,07:00:00,08:10:00,10:50:00,10:20:00,07:00:00,07:20:00,08:40:00,09:20:00,08:00:00,08:20:00,08:10:00,08:40:00,10:50:00,10:20:00,06:30:00,06:00:00,10:50:00,07:00:00,07:00:00,10:20:00,06:00:00,08:30:00
Ravi 7,Housekeeping,07:40:00,06:00:00,06:40:00,10:20:00,07:10:00,07:30:00,09:30:00,10:30:00,06:50:00,06:10:00,09:30:00,06:00:00,08:20:00,08:50:00,08:10:00,07:40:00,09:10:00,08:20:00,10:20:00,00:00:00,09:30:00,07:40:00,10:10:00,08:00:00,06:00:00,08:30:00,08:30:00,08:20:00,08:50:00,07:20:00,09:40:00,10:50:00,10:40:00,06:10:00,09:40:00,00:00:00,07:40:00,09:00:00,00:00:00,06:40:00,10:30:00,09:20:00,07:40:00,08:40:00,10:40:00,09:30:00,08:10:00,09:10:00,09:30:00,06:40:00,08:00:00,06:30:00,07:30:00,09:20:00,07:40:00,09:10:00,00:00:00,08:40:00,07:20:00,00:00:00,07:50:00,08:40:00,06:20:00,09:40:00,10:20:00,06:30:00,10:10:00,06:00:00,07:10:00,09:40:00,00:00:00,09:30:00,07:10:00,10:00:00,09:20:00,10:20:00,06:00:00,09:40:00,08:10:00,07:40:00,08:50:00,06:00:00,06:30:00,09:50:00,08:00:00,07:00:00,08:00:00,10:10:00,08:30:00,09:10:00,00:00:00
Aarav 8,Reception,06:50:00,06:20:00,10:50:00,07:10:00,09:10:00,09:30:00,10:00:00,09:00:00,08:30:00,07:40:00,10:10:00,06:10:00,10:30:00,09:50:00,06:30:00,00:00:00,10:30:00,06:50:00,09:00:00,10:00:00,09:20:00,06:40:00,10:50:00,09:50:00,06:20:00,10:20:00,10:50:00,08:40:00,09:20:00,07:20:00,06:20:00,09:20:00,06:40:00,09:50:00,10:20:00,08:50:00,07:10:00,00:00:00,09:40:00,08:00:00,07:50:00,06:50:00,09:10:00,07:50:00,09:30:00,10:20:00,07:40:00,10:10:00,08:00:00,08:50:00,07:10:00,09:50:00,08:20:00,09:40:00,06:00:00,07:30:00,10:50:00,00:00:00,07:00:00,06:10:00,08:50:00,10:10:00,00:00:00,09:20:00,00:00:00,10:00:00,00:00:00,09:40:00,08:20:00,10:00:00,09:20:00,06:40:00,09:40:00,10:50:00,06:00:00,07:10:00,09:40:00,09:00:00,10:50:00,08:10:00,07:20:00,08:10:00,08:10:00,06:50:00,06:20:00,00:00:00,10:20:00,10:30:00,07:50:00,08:20:00,08:10:00
Meera 9,Supervisor,10:10:00,09:50:00,10:00:00,10:00:00,09:00:00,10:30:00,06:00:00,06:00:00,10:10:00,08:40:00,06:10:00,06:50:00,06:20:00,09:10:00,07:20:00,09:20:00,00:00:00,09:20:00,10:50:00,06:30:00,08:50:00,09:10:00,07:00:00,06:10:00,07:10:00,08:10:00,06:10:00,07:40:00,08:40:00,08:20:00,08:30:00,10:10:00,09:30:00,06:20:00,10:00:00,07:00:00,00:00:00,08:00:00,10:50:00,09:00:00,00:00:00,09:40:00,07:20:00,07:10:00,00:00:00,10:40:00,06:10:00,00:00:00,07:20:00,06:00:00,06:20:00,10:10:00,10:00:00,08:50:00,07:50:00,10:30:00,08:50:00,07:40:00,09:30:00,06:40:00,00:00:00,06:50:00,07:00:00,09:10:00,10:30:00,00:00:00,09:30:00,10:50:00,09:10:00,07:00:00,07:10:00,10:50:00,06:20:00,08:40:00,06:30:00,06:10:00,07:50:00,08:40:00,06:10:00,07:40:00,09:40:00,08:00:00,09:50:00,06:30:00,09:40:00,10:20:00,06:50:00,07:00:00,10:40:00,08:30:00,07:40:00
Sai 10,Reception,06:10:00,10:20:00,07:10:00,09:20:00,06:50:00,07:40:00,07:50:00,10:40:00,08:20:00,00:00:00,08:10:00,08:20:00,09:40:00,06:10:00,07:50:00,06:10:00,09:10:00,06:50:00,08:00:00,09:10:00,00:00:00,09:20:00,09:00:00,06:20:00,10:30:00,08:40:00,09:50:00,09:50:00,08:00:00,10:40:00,07:30:00,10:40:00,06:20:00,10:50:00,07:30:00,06:30:00,07:40:00,09:10:00,09:00:00,10:30:00,06:50:00,10:20:00,09:30:00,08:50:00,10:20:00,10:50:00,08:10:00,07:50:00,06:00:00,08:30:00,09:20:00,00:00:00,10:10:00,06:50:00,09:00:00,06:40:00,10:20:00,10:50:00,07:10:00,06:00:00,07:10:00,06:50:00,09:20:00,07:20:00,07:10:00,00:00:00,08:40:00,06:00:00,10:00:00,08:50:00,09:20:00,07:10:00,06:20:00,09:20:00,06:20:00,07:30:00,00:00:00,07:10:00,08:10:00,06:30:00,08:30:00,09:40:00,06:10:00,10:00:00,10:00:00,09:30:00,07:50:00,06:30:00,07:50:00,06:40:00,07:10:00
